protein,com_id,com_pubchem_id,prob
SIR3,COM00001117,1102,0.06
SIR4,COM00000671,936,0.06
SIR3,COM00004327,760,0.06
CDN2A,COM00002939,199,0.06
SIR2,COM00000837,72281,0.06
SIR2,COM00000995,6057,0.06
SIR4,COM00000014,6089,0.06
SIR4,COM00000583,6590,0.06
SIR3,COM00004623,493570,0.06
SIR4,COM00001719,443884,0.06
KLOT,COM00001628,3000322,0.06
SIR5,COM00003218,440995,0.06
CDN2A,COM00000076,54675858,0.06
CDN2A,COM00001719,443884,0.05
SIR5,COM00000994,5280934,0.05
SIR3,COM00000198,5770,0.05
SIR5,COM00006234,5282745,0.05
SIR4,COM00002956,46936492,0.05
SIR3,COM00005361,10133,0.05
KLOT,COM00004623,493570,0.05
SIR4,COM00000098,757,0.05
SIR3,COM00005101,31401,0.05
SIR5,COM00004411,6140,0.05
BECN1,COM00001106,8617,0.05
SIR3,COM00004056,2230,0.05
CDN2A,COM00000369,46936757,0.05
SIR4,COM00005149,942,0.05
SIR5,COM00001111,453551,0.05
CDN2A,COM00000758,1060,0.05
SIR2,COM00000076,54675858,0.05
SIR2,COM00001191,5862,0.05
SIR5,COM00004373,31721,0.05
SIR5,COM00000993,5951,0.05
KLOT,COM00000076,54675858,0.05
SIR5,COM00003488,637517,0.05
KLOT,COM00003107,6128,0.05
SIR3,COM00002046,221493,0.05
SIR2,COM00000098,757,0.05
